Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,sales_date,sales_day,sales_time,Payment,cogs,gross margin percentage,gross income,Rating
750678428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,Saturday,13:08:00,Ewallet,522.83,4.76,26.1415,9.1
226313081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,Friday,10:29:00,Cash,76.4,4.76,3.82,9.6
631413108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,Sunday,13:23:00,Credit card,324.31,4.76,16.2155,7.4
123191176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,1/27/2019,Sunday,20:33:00,Ewallet,465.76,4.76,23.288,8.4
373737910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,Friday,10:37:00,Ewallet,604.17,4.76,30.2085,5.3
699143026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,Monday,18:30:00,Ewallet,597.73,4.76,29.8865,4.1
355535943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,Monday,14:36:00,Ewallet,413.04,4.76,20.652,5.8
315225665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,Sunday,11:38:00,Ewallet,735.6,4.76,36.78,8
665329167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,1/10/2019,Thursday,17:15:00,Credit card,72.52,4.76,3.626,7.2
692925582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,Wednesday,13:27:00,Credit card,164.52,4.76,8.226,5.9
351620822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2/6/2019,Wednesday,18:07:00,Ewallet,57.92,4.76,2.896,4.5
529563974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,3/9/2019,Saturday,17:03:00,Cash,102.04,4.76,5.102,6.8
365640515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2/12/2019,Tuesday,10:25:00,Ewallet,234.75,4.76,11.7375,7.1
252562699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2/7/2019,Thursday,16:48:00,Ewallet,431.9,4.76,21.595,8.2
829343910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,Friday,19:21:00,Cash,713.8,4.76,35.69,5.7
299461805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,Tuesday,16:19:00,Cash,562.32,4.76,28.116,4.5
656959349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,3/11/2019,Monday,11:03:00,Credit card,482.51,4.76,24.1255,4.6
765266951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,1/1/2019,Tuesday,10:39:00,Credit card,435.66,4.76,21.783,6.9
329621586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,Monday,18:00:00,Credit card,164.01,4.76,8.2005,8.6
319503348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,Monday,15:30:00,Ewallet,80.6,4.76,4.03,4.4
300714605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,Monday,11:24:00,Ewallet,430.2,4.76,21.51,4.8
371855789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,3/5/2019,Tuesday,10:40:00,Ewallet,263.94,4.76,13.197,5.1
273166619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,Friday,12:20:00,Credit card,66.4,4.76,3.32,4.4
636488204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,Sunday,11:15:00,Ewallet,172.8,4.76,8.64,9.9
549591358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,3/2/2019,Saturday,17:36:00,Ewallet,265.89,4.76,13.2945,6
